Пользователь,Дата,Комментарий,Рейтинг,Название заведения,Средняя оценка,Кол-во оценок
wei,сегодня,"Замечательная кухня в этом заведении! Сотрудница Ажар прямо излучает позитив, было вдвойне приятно находиться здесь благодаря её обслуживанию",5,Chicago Pizza,4.6,777
Adil Read,26 апреля 2025,"Отличное обслуживание, у меня девушка как всегда докопалась до еды, и персонал грамотно урегулировал вопрос, роллы отличные.",5,Chicago Pizza,4.6,777
Руслан Булатов,26 апреля 2025,Чудесное место. Очень вкусно!!!,5,Chicago Pizza,4.6,777
Mick B.,26 апреля 2025,Фирменная глубокая пицца просто невероятна. Пряная мексиканская с кучей сыра и соуса - топ.,5,Chicago Pizza,4.6,777
Aruzhan Adil,26 апреля 2025,Попросили разрезать пиццу на 3 части. Сотрудники пошли нам на встречу ❤️,5,Chicago Pizza,4.6,777
Гаухар Иманкулова,20 апреля 2025,Суши просто офигенные 🤩,5,Chicago Pizza,4.6,777
Ayau💮,19 апреля 2025,Nice,5,Chicago Pizza,4.6,777
Господин AC/DC,14 апреля 2025,"Пеперонни пицца, сама пицца вкусная но там какой то сервелат вместо классических колбасок пеперонни круглых. Сервелат все испортил",3,Chicago Pizza,4.6,777
Aksuirik Dulatkyzy,11 апреля 2025,Вкусноооо рекомендую,5,Chicago Pizza,4.6,777
Гаухар Galmmat,11 апреля 2025,Обожаю пиццу от Chicago pizza ) 10/10 советую попробовать,5,Chicago Pizza,4.6,777
Sarbinaz Rzaeva,10 апреля 2025,"персонал вежливый, уютно и чисто, еда вкусная, но глубокая пицца не стоит своих денег совсем, вместо перерони кладут обычный сервелат, поэтому ощущение будто еш просто хлеб с колбасой и очень много сыра, тесто сыроватое, 10к за такую пиццу деньги на ветер, пицца на тонком тесте и фри просто отпад",4,Chicago Pizza,4.6,777
Раис _,8 апреля 2025,-1 балл за сыроватое тесто. Начинка в целом вкусная. Обслуживание неприветливое.,3,Chicago Pizza,4.6,777
Zhansaya Kudaibergenova,7 апреля 2025,Очень вкусно готовят 🫶🫶🫶!,5,Chicago Pizza,4.6,777
Laura Sharihanova,5 апреля 2025,Очень советую сделали наш день спасибо большое. Очень вкусно. Пицца и суши бомба❤️,5,Chicago Pizza,4.6,777
Арсен Люпен,"25 марта 2025, отредактирован",Пицца вкусная. Рекомендую.,5,Chicago Pizza,4.6,777
domestoss lolka,"24 марта 2025, отредактирован","вкусно, красиво, персонал вежливый и приветливый, думаю сходить еще раз попробовать и другие позиции",5,Chicago Pizza,4.6,777
Еркебулан Байзолданов,"21 марта 2025, отредактирован","Пицца топ) после нее реально не хочется другую пиццу. Всем рекомендую!!

Еще вернусь туда. Атвечаю 🫶🏿",5,Chicago Pizza,4.6,777
Мирас Аймухамбетов,21 марта 2025,Рекомендую,5,Chicago Pizza,4.6,777
Замира Таджиева,19 марта 2025,"очень вкусная пицца, сходите не пожалеете",5,Chicago Pizza,4.6,777
Алексей Иванов,"15 марта 2025, отредактирован",Very rich and delicious!,5,Chicago Pizza,4.6,777
Александр Михайлов,6 марта 2025,"Неплохо. Пицца сытная, для троих персон.",4,Chicago Pizza,4.6,777
Denis Rodionov,2 марта 2025,"Очень вкусные пиццы и сервис на высоте!
Буду постоянным клиентом ❤️
Одна из самых вкусных пицц в Алматы!",5,Chicago Pizza,4.6,777
Natalie Alexis,24 февраля 2025,"Ужинали с подругой в кафе, очень понравилось обслуживание и сервис, очень удобно оплатить счёт с каспи QR прямо со стола! Заказывали пиццу и суши, всё вкусное, свежеприготовленное. Благодарность официанту Бекболату А. Жителям и гостям Алматы рекомендую посетить это кафе.",5,Chicago Pizza,4.6,777
Нуржан Бектасов,"23 февраля 2025, отредактирован",Вкусная и сытная пицца 😋,5,Chicago Pizza,4.6,777
Надежда Багаева,"22 февраля 2025, отредактирован",Вкусная и сытная,5,Chicago Pizza,4.6,777
Анастасия Ли,21 февраля 2025,"очень вкусно и уютно, Бекболату большое спасибо!)",5,Chicago Pizza,4.6,777
Dinara Ball,19 февраля 2025,"Я заказала доставку на дом. Заказ был оплачен в 17:38, пицца была готова в 19:27 и доставлена в 20:02.

Когда я делала заказ, меня не предупредили, что приготовление займет почти два часа. Только после оплаты мне сообщили, что «пицца готовится минимум 40 минут по очереди».",1,Chicago Pizza,4.6,777
